"truth","herd","fear","discover","no","definition"
"during","clean","shade","even","plant","instrument"
"program","wealth","limited","means","bite","atmosphere"
"let","how","took","refer","pressure","company"
"fine","long","hour","monkey","dry","powder"
"prepare","laid","twenty","class","fewer","studied"
"earn","bite","show","particles","away","brave"
"unit","danger","done","onto","whether","thirty"
"farm","prepare","television","meal","gold","understanding"
"speak","front","name","damage","those","unknown"
"act","family","high","season","change","species"
"production","pocket","swept","railroad","rabbit","joy"
